town,name,type,address,area,phone,website,hours
berthoud,Berthoud Inn & Events,lodging,444 1st St,1st Street,(970) 532-4566,,
berthoud,La Casita,restaurant,405 5th St,"5th Street, downtown",,,"Mon–Fri 7:30 am–8 pm, Sat 7–2; closed Sun"
berthoud,Rise Artisan Bread,coffee,403 5th St,"5th Street, downtown",,,Tue–Sun 7 am–2 pm; closed Mon
berthoud,Berthoud Brewing Co.,bar,450 8th St,"8th Street, near Town Park",(970) 532-9850,https://berthoudbrewing.com/,"Tue–Fri 2–8, Sat–Sun 1–8"
berthoud,Aussie's Poke Pitstop,restaurant,441 Mountain Ave,"Downtown, Mountain Avenue",,,
berthoud,Bradford's Grub & Grog,restaurant,335 Mountain Ave,"Downtown, Mountain Avenue",,,
berthoud,Brick Oven Pizza,restaurant,269 Mountain Ave,"Downtown, Mountain Avenue",,,
berthoud,City Star Brewing,bar,321 Mountain Ave,"Downtown, Mountain Avenue",(970) 532-7827,https://www.citystarbrewing.com/,"Mon 3–8, Tue–Thu 3–9, Fri 3–10, Sat 12–10, Sun 12–8"
berthoud,Cocina & Cantina,restaurant,400 Mountain Ave,"Downtown, Mountain Avenue",,,"Mon–Fri 6 am–9 pm, Sat 7–9, Sun 7–8:30"
berthoud,Cornerstone Cafe,restaurant,250 Mountain Ave,"Downtown, Mountain Avenue",,,Tue–Sat 7 am–2 pm
berthoud,Glass of Art,restaurant,316 Mountain Ave,"Downtown, Mountain Avenue",,,
berthoud,Homestead Fine Art Gallery,shop,344 Mountain Ave,"Downtown, Mountain Avenue",,,"Tue–Sat 12–5, Sun 11–4; closed Mon"
berthoud,House of Rossi Boutique,shop,311 Mountain Ave,"Downtown, Mountain Avenue",,,"Tue–Sat 10–6, Sun 1–5; closed Mon"
berthoud,Kofe House,coffee,434 Mountain Ave,"Downtown, Mountain Avenue",,,"Mon–Sat 7:30–2:30, Sun 8–2:30"
berthoud,Log Cabin Liquors,shop,443 Mountain Ave,"Downtown, Mountain Avenue",,,
berthoud,Marley & Moose,shop,520 Mountain Ave,"Downtown, Mountain Avenue",,,"Tue–Fri 12–6, Sat 9–4, Sun 12–4; closed Mon"
berthoud,The Source Zero,shop,434 Mountain Ave,"Downtown, Mountain Avenue",,,"Mon 11–3, Tue–Sat 10–5, Sun 12–4"
berthoud,Wishful Living,shop,321 Mountain Ave,"Downtown, Mountain Avenue",,,
berthoud,Habitat for Humanity ReStore,shop,157 Mountain Ave,East Mountain Avenue,,,Tue–Sat 10–5; closed Sun–Mon
berthoud,Indigo Sky Trading,shop,212 Mountain Ave,East Mountain Avenue,,,
berthoud,Arcana House,shop,347 Massachusetts Ave,"Massachusetts Avenue, downtown",,,
berthoud,Cobblestone Corner,shop,349 Massachusetts Ave,"Massachusetts Avenue, downtown",,,
berthoud,Joyful Brews,coffee,429 Meadowlark Dr,"Meadowlark Drive, by the Kwik Korner",,,
berthoud,Trailhead Cafe,restaurant,375 Meadowlark Dr,"Meadowlark Drive, near the bike park",,,
berthoud,Berthoud Pizza Co.,restaurant,527 N 4th St,North 4th Street,,,Daily 11 am–8 pm
berthoud,Benny's Tacos,restaurant,535 Third St,Third Street,,,"Mon–Sat 6 am–9 pm, Sun 7 am–8 pm"
berthoud,The Rancher's Wife,shop,604 Third St,Third Street,,,
berthoud,Berthoud Pet Supply,shop,115 Turner Ave,Turner Avenue,,,"Mon–Wed 10–6, Thu–Sat 10–7, Sun 11–3"
berthoud,Happy Eating,restaurant,506 Welch Ave,Welch Avenue,,,"Tue–Sat 11–3 & 4–8:30, Sun 4–8:30; closed Mon"
berthoud,Turner's Pit BBQ,restaurant,237 Welch Ave,"Welch Avenue, downtown",,,"Sun–Wed 11 am–9:30 pm, Thu–Sat 11 am–12 am"
berthoud,A&W Restaurant,restaurant,802 Mountain Ave,"West Mountain Avenue, near Town Hall",,,Mon–Sat 11 am–9 pm; closed Sun
berthoud,Grandpa's Cafe,restaurant,903 Mountain Ave,"West Mountain Avenue, near Town Hall",,,"Daily 7 am–8 pm, except Tue 7 am–2 pm"
berthoud,Ziggi's Coffee,coffee,1011 Mountain Ave,"West Mountain Avenue, near US 287",,https://www.ziggiscoffee.com/,
elizabeth,Catrina's Latin Food,restaurant,"210 S Elizabeth St, Unit 101","Elizabeth Street, downtown",(303) 646-0279,,"Mon–Sat 6:30 am–8 pm, Sun 8 am–2 pm"
elizabeth,Elizabeth Kitchen & Bar,restaurant,"240 S Elizabeth St, Unit 110","Elizabeth Street, downtown",(303) 646-8695,,"Mon–Thu 11–10, Fri 11 am–1 am, Sat 10 am–1 am, Sun 10–9"
elizabeth,Cowgirlz Coffee Company,coffee,2733 N Highway 86,"Highway 86, north edge",,,"Mon 5:30–1:30, Wed–Fri 6:30–1:30, Sat 6:30–1, Sun 7:30–12:30; closed Tue"
elizabeth,86 & Main,shop,122 S Main St,Historic Main Street,,,
elizabeth,Antelope Alpacas Fiber Arts Center,shop,360 S Main St,Historic Main Street,,,Sat 10–5 only
elizabeth,Carriage Shoppes Tea Room,restaurant,392 S Main St,Historic Main Street,,,Tue–Sat 11–3; closed Sun–Mon
elizabeth,IC Threads,shop,244 S Main St,Historic Main Street,,,"Tue–Fri 10–5, Sat 10–3; closed Sun–Mon"
elizabeth,KG's Fashion Farm,shop,271 S Main St,Historic Main Street,,,
elizabeth,Mountain Man Nut & Fruit Company,coffee,207 S Main St,Historic Main Street,,,Mon–Sat 10:30–5:30; closed Sun
elizabeth,Powder River Custom Hat Company,shop,232 S Main St,Historic Main Street,,,"Tue–Sat 10–5, or by appointment"
elizabeth,Randy's Antiques and Art,shop,232 S Main St,Historic Main Street,,,
elizabeth,Small Town Mini Donuts,coffee,"166 S Main St, Unit 103",Historic Main Street,,,"Mon–Wed 6–1, Fri 6 am–8 pm, Sat 8–8, Sun 6–2; closed Thu"
elizabeth,The Carriage Shoppes,shop,392 S Main St,Historic Main Street,,,"Mon–Thu 10–5, Fri 10–6, Sat 10–5, Sun 11–5"
elizabeth,The Coffee House on Main Street,coffee,341 S Main St,Historic Main Street,,,Tue–Sat 9:30–4:30
elizabeth,The Nest at the 1897 House,shop,286 S Main St,Historic Main Street,,,
elizabeth,El Pinito Restaurant,restaurant,800 E Kiowa Ave,"Kiowa Avenue, Highway 86",(303) 646-1556,,"Mon–Fri 11–9, Sat 10–9, Sun 9–9"
